Country,Population,Capital,Region
Malta,525285,Valletta,Europe
Sudan,43849269,Khartoum,Africa
New Zealand,5084300,Wellington,Oceania
Iraq,40222503,Baghdad,Asia
Gibraltar,33691,Gibraltar,Europe
Russia,144104080,Moscow,Europe
Azerbaijan,10110116,Baku,Asia
British Indian Ocean Territory,3000,Diego Garcia,Africa
Lesotho,2142252,Maseru,Africa
Slovakia,5458827,Bratislava,Europe
United States Minor Outlying Islands,300,undefined,Americas
Georgia,3714000,Tbilisi,Asia
Dominica,71991,Roseau,Americas
Mozambique,31255435,Maputo,Africa
Greenland,56367,Nuuk,Americas
Morocco,36910558,Rabat,Africa
Antigua and Barbuda,97928,Saint Johns,Americas
Bermuda,63903,Hamilton,Americas
Zimbabwe,14862927,Harare,Africa
Indonesia,273523621,Jakarta,Asia
Guyana,786559,Georgetown,Americas
South Georgia,30,King Edward Point,Antarctic
Tunisia,11818618,Tunis,Africa
Åland Islands,29458,Mariehamn,Europe
Vietnam,97338583,Hanoi,Asia
Venezuela,28435943,Caracas,Americas
Armenia,2963234,Yerevan,Asia
Micronesia,115021,Palikir,Oceania
Papua New Guinea,8947027,Port Moresby,Oceania
Syria,17500657,Damascus,Asia
Pitcairn Islands,56,Adamstown,Oceania
Bouvet Island,0,undefined,Antarctic
Switzerland,8654622,Bern,Europe
Aruba,106766,Oranjestad,Americas
Estonia,1331057,Tallinn,Europe
Anguilla,13452,The Valley,Americas
Vanuatu,307150,Port Vila,Oceania
Latvia,1901548,Riga,Europe
Liechtenstein,38137,Vaduz,Europe
Cook Islands,18100,Avarua,Oceania
Mayotte,226915,Mamoudzou,Africa
Ethiopia,114963583,Addis Ababa,Africa
Argentina,45376763,Buenos Aires,Americas
Isle of Man,85032,Douglas,Europe
Saint Kitts and Nevis,53192,Basseterre,Americas
Poland,37950802,Warsaw,Europe
Rwanda,12952209,Kigali,Africa
Angola,32866268,Luanda,Africa
Western Sahara,510713,El Aaiún,Africa
Heard Island and McDonald Islands,0,undefined,Antarctic
Thailand,69799978,Bangkok,Asia
Seychelles,98462,Victoria,Africa
United States Virgin Islands,106290,Charlotte Amalie,Americas
Togo,8278737,Lomé,Africa
India,1380004385,New Delhi,Asia
Iceland,366425,Reykjavik,Europe
Bahrain,1701583,Manama,Asia
Brazil,212559409,Brasília,Americas
Cayman Islands,65720,George Town,Americas
Saint Helena, Ascension and Tristan da Cunha,53192,Jamestown,Africa
Sint Maarten,40812,Philipsburg,Americas
Canada,38005238,Ottawa,Americas
Moldova,2617820,Chișinău,Europe
New Caledonia,271960,Nouméa,Oceania
Trinidad and Tobago,1399491,Port of Spain,Americas
Tanzania,59734213,Dodoma,Africa
Mongolia,3278292,Ulan Bator,Asia
Singapore,5685807,Singapore,Asia
Laos,7275556,Vientiane,Asia
North Korea,25778815,Pyongyang,Asia
Bolivia,11673029,Sucre,Americas
Bahamas,393248,Nassau,Americas
Kyrgyzstan,6591600,Bishkek,Asia
Uzbekistan,34232050,Tashkent,Asia
Paraguay,7132530,Asunción,Americas
French Guiana,254541,Cayenne,Americas
Hong Kong,7500700,City of Victoria,Asia
Central African Republic,4829764,Bangui,Africa
Timor-Leste,1318442,Dili,Asia
North Macedonia,2077132,Skopje,Europe
Gambia,2416664,Banjul,Africa
Belarus,9398861,Minsk,Europe
Jamaica,2961161,Kingston,Americas
Saint Barthélemy,4255,Gustavia,Americas
Libya,6871287,Tripoli,Africa
Oman,5106622,Muscat,Asia
Austria,8917205,Vienna,Europe
Vatican City,451,Vatican City,Europe
Cocos (Keeling) Islands,544,West Island,Oceania
Saint Lucia,183629,Castries,Americas
Nigeria,206139587,Abuja,Africa
Tonga,105697,Nuku'alofa,Oceania
San Marino,33938,City of San Marino,Europe
Bosnia and Herzegovina,3280815,Sarajevo,Europe
Iran,83992953,Tehran,Asia
Andorra,77265,Andorra la Vella,Europe
Turkey,84339067,Ankara,Asia
Niger,24206636,Niamey,Africa
Netherlands,16655799,Amsterdam,Europe
Norway,5379475,Oslo,Europe
Panama,4314768,Panama City,Americas
Benin,12123198,Porto-Novo,Africa
Montserrat,4922,Plymouth,Americas
Philippines,109581085,Manila,Asia
Sri Lanka,21919000,Sri Jayawardenepura Kotte,Asia
Christmas Island,2072,Flying Fish Cove,Oceania
Colombia,50882884,Bogotá,Americas
Croatia,4047200,Zagreb,Europe
Burkina Faso,20903278,Ouagadougou,Africa
Chile,19116209,Santiago,Americas
Guinea,13132792,Conakry,Africa
United Kingdom,67215293,London,Europe
Denmark,5831404,Copenhagen,Europe
Israel,9216900,Jerusalem,Asia
Uruguay,3473727,Montevideo,Americas
Maldives,540542,Malé,Asia
Sierra Leone,7976985,Freetown,Africa
Namibia,2540916,Windhoek,Africa
Costa Rica,5094114,San José,Americas
Gabon,2225728,Libreville,Africa
Comoros,869595,Moroni,Africa
Malawi,19129955,Lilongwe,Africa
Turks and Caicos Islands,38718,Cockburn Town,Americas
Kosovo,1775378,Pristina,Europe
Nauru,10834,Yaren,Oceania
Uganda,45741000,Kampala,Africa
Macau,649342,undefined,Asia
Ivory Coast,26378275,Yamoussoukro,Africa
China,1402112000,Beijing,Asia
Jersey,100800,Saint Helier,Europe
Fiji,896444,Suva,Oceania
Burundi,11890781,Gitega,Africa
Suriname,586634,Paramaribo,Americas
Qatar,2881060,Doha,Asia
Cape Verde,555988,Praia,Africa
Guatemala,16858333,Guatemala City,Americas
Martinique,378243,Fort-de-France,Americas
Madagascar,27691019,Antananarivo,Africa
Northern Mariana Islands,57557,Saipan,Oceania
Portugal,10305564,Lisbon,Europe
Algeria,44700000,Algiers,Africa
Norfolk Island,2302,Kingston,Oceania
Caribbean Netherlands,25987,Kralendijk,Americas
Republic of the Congo,89561404,Brazzaville,Africa
Kenya,53771300,Nairobi,Africa
El Salvador,6486201,San Salvador,Americas
France,67391582,Paris,Europe
Bhutan,771612,Thimphu,Asia
Kiribati,119446,South Tarawa,Oceania
South Korea,51780579,Seoul,Asia
Lebanon,6825442,Beirut,Asia
Egypt,102334403,Cairo,Africa
Afghanistan,40218234,Kabul,Asia
Liberia,5057677,Monrovia,Africa
Yemen,29825968,Sana'a,Asia
Eritrea,5352000,Asmara,Africa
São Tomé and Príncipe,219161,São Tomé,Africa
Saudi Arabia,34813867,Riyadh,Asia
Faroe Islands,48865,Tórshavn,Europe
Solomon Islands,686878,Honiara,Oceania
Barbados,287371,Bridgetown,Americas
Cyprus,1207361,Nicosia,Europe
Antarctica,1000,undefined,Antarctic
Montenegro,621718,Podgorica,Europe
Cuba,11326616,Havana,Americas
Falkland Islands,2563,Stanley,Americas
Slovenia,2100126,Ljubljana,Europe
Albania,2837743,Tirana,Europe
Eswatini,1160164,Mbabane,Africa
Cambodia,16718971,Phnom Penh,Asia
Czechia,10698896,Prague,Europe
Greece,10715549,Athens,Europe
Serbia,6908224,Belgrade,Europe
Mexico,128932753,Mexico City,Americas
Réunion,840974,Saint-Denis,Africa
Turkmenistan,6031187,Ashgabat,Asia
French Southern and Antarctic Lands,400,Port-aux-Français,Antarctic
Mauritania,4649660,Nouakchott,Africa
Mali,20250834,Bamako,Africa
Grenada,112519,St. Georges,Americas
Guam,168783,Hagåtña,Oceania
Equatorial Guinea,1402985,Malabo,Africa
Italy,59554023,Rome,Europe
Saint Pierre and Miquelon,6069,Saint-Pierre,Americas
Belgium,11555997,Brussels,Europe
Kuwait,4270563,Kuwait City,Asia
Palau,18092,Ngerulmud,Oceania
United States,329484123,Washington, D.C.,Americas
United Arab Emirates,9890400,Abu Dhabi,Asia
Kazakhstan,18754440,Nur-Sultan,Asia
Taiwan,23503349,Taipei,Asia
Guernsey,62999,St. Peter Port,Europe
Romania,19286123,Bucharest,Europe
Brunei,437483,Bandar Seri Begawan,Asia
Cameroon,26545864,Yaoundé,Africa
Saint Vincent and the Grenadines,110947,Kingstown,Americas
Honduras,9904608,Tegucigalpa,Americas
Niue,1470,Alofi,Oceania
Mauritius,1265740,Port Louis,Africa
Somalia,15893219,Mogadishu,Africa
Myanmar,54409794,Naypyidaw,Asia
Samoa,198410,Apia,Oceania
British Virgin Islands,30237,Road Town,Americas
Sweden,10353442,Stockholm,Europe
Guinea-Bissau,1967998,Bissau,Africa
Ireland,4994724,Dublin,Europe
